system,mcc,auroc,f1,accuracy
dtkinase,0.5036286982853692,0.781859783662935,0.7935034802784223,0.7455325232308792
drugban,0.533388644615751,0.8522001528825762,0.8,0.7662616154395997
graphban,0.5283459970760646,0.8250747973894891,0.8007159904534606,0.7612580414581844
conplex,0.46219215322281687,0.8293972234551463,0.7619655392469687,0.7333809864188706
committee,0.5469562921676038,0.8489626999391757,0.8085358624777712,0.7691208005718371
committee_optim*,0.5516335259993574,0.8489626999391757,0.8115273775216139,0.7662616154395997
