comparison,delta_mean,ci_lo,ci_hi,frac_positive,verdict
committee - dtkinase,0.04470946390221931,0.00441438488194417,0.08444312739013839,0.985,committee leads ▲
committee - drugban,0.013972826337556409,-0.01630431681111453,0.044377708723588906,0.827,indistinguishable ⊘
committee - graphban,0.01907715528675603,0.005185999628438231,0.03463101796669232,0.998,committee leads ▲
committee - conplex,0.0849200501001825,0.016299428666293008,0.16028742375200197,0.991,committee leads ▲
