system,mcc,auroc,f1,accuracy
dtkinase,0.4747177542188357,0.8216401527403564,0.6797530568209063,0.742139427137376
drugban,0.5302246374949211,0.8613080473286789,0.7130300050654033,0.7675973070147921
graphban,0.510547957810848,0.853438632037648,0.7035817562344319,0.7501749475157453
conplex,0.42451327495680985,0.8130374527394297,0.5586615662701249,0.7466518665090128
committee,0.563909634942468,0.8685129126651898,0.7297533562285358,0.7911247315460535
