system,mcc,auroc,f1,accuracy
dtkinase,0.4898819140331135,0.8319712648111666,0.6505691236600729,0.7791822340165508
drugban,0.5303375843754689,0.8654360504544507,0.6954670199678243,0.7752714829428402
graphban,0.4935748167421234,0.8434263003036068,0.6706784431718917,0.7630503858374943
conplex,0.4456800228984084,0.8234894378713756,0.5646557464376082,0.7717099060721394
committee,0.5420951312869212,0.8675544295579631,0.6908191786712535,0.7991549984287161
committee_optim*,0.5455260274126377,0.8675544295579631,0.696785676892472,0.7977583016166766
