comparison,delta_mean,ci_lo,ci_hi,frac_positive,verdict
committee - dtkinase,0.08383159897604137,0.0720476000285512,0.09567170550625428,1.0,committee leads ▲
committee - drugban,0.03306195941229066,0.021140472598604285,0.0450727457876982,1.0,committee leads ▲
committee - graphban,0.05192822487822932,0.04289530242759315,0.06150073024829138,1.0,committee leads ▲
committee - conplex,0.10942095839062785,0.07434007390310587,0.14492824051507355,1.0,committee leads ▲
