comparison,delta_mean,ci_lo,ci_hi,frac_positive,verdict
committee - dtkinase,0.05500702217510284,0.04820955518337912,0.0620154439315647,1.0,committee leads ▲
committee - drugban,0.016680636929241814,0.010231751644558713,0.023032089004195816,1.0,committee leads ▲
committee - graphban,0.05144282366638572,0.0456551366391787,0.05718798141094556,1.0,committee leads ▲
committee - conplex,0.13173596483127545,0.12265329795759994,0.1408362358029122,1.0,committee leads ▲
