chembl_id,n_active,n_total,activity_rate,n_kinases,n_inactive
CHEMBL103127,0,4,0.0,1,4
CHEMBL103206,0,4,0.0,1,4
CHEMBL103272,0,1,0.0,1,1
CHEMBL103275,4,4,1.0,1,0
CHEMBL103285,1,1,1.0,1,0
CHEMBL103293,1,1,1.0,1,0
CHEMBL103307,0,5,0.0,5,5
CHEMBL103322,2,2,1.0,1,0
CHEMBL103334,5,8,0.625,3,3
CHEMBL103355,3,4,0.75,3,1
CHEMBL103382,1,1,1.0,1,0
CHEMBL103421,4,4,1.0,3,0
CHEMBL103454,1,1,1.0,1,0
CHEMBL103464,0,1,0.0,1,1
CHEMBL103506,7,7,1.0,6,0
CHEMBL103552,0,1,0.0,1,1
CHEMBL103567,0,1,0.0,1,1
CHEMBL103579,3,3,1.0,1,0
CHEMBL103627,1,1,1.0,1,0
CHEMBL103628,6,8,0.75,6,2
CHEMBL103633,1,2,0.5,2,1
CHEMBL103649,0,1,0.0,1,1
CHEMBL103658,0,1,0.0,1,1
CHEMBL103667,136,694,0.19596541786743515,348,558
CHEMBL103674,2,5,0.4,2,3
CHEMBL103676,4,4,1.0,1,0
CHEMBL103714,7,11,0.6363636363636364,3,4
CHEMBL103729,2,2,1.0,1,0
CHEMBL103798,0,4,0.0,1,4
CHEMBL103812,2,2,1.0,1,0
CHEMBL103838,0,3,0.0,2,3
CHEMBL103839,1,1,1.0,1,0
CHEMBL103860,1,1,1.0,1,0
CHEMBL103909,2,2,1.0,1,0
CHEMBL103960,0,1,0.0,1,1
CHEMBL104,0,2,0.0,2,2
CHEMBL104062,1,1,1.0,1,0
CHEMBL104064,1,1,1.0,1,0
CHEMBL104067,1,16,0.0625,4,15
CHEMBL104071,1,1,1.0,1,0
CHEMBL104077,0,1,0.0,1,1
CHEMBL104119,0,4,0.0,1,4
CHEMBL104153,1,1,1.0,1,0
CHEMBL104166,3,3,1.0,1,0
CHEMBL104211,1,1,1.0,1,0
CHEMBL104212,0,4,0.0,1,4
CHEMBL104215,1,1,1.0,1,0
CHEMBL104241,0,1,0.0,1,1
CHEMBL104244,1,1,1.0,1,0
CHEMBL104264,10,41,0.24390243902439024,13,31
CHEMBL104279,2,2,1.0,2,0
CHEMBL104304,1,1,1.0,1,0
CHEMBL104322,1,1,1.0,1,0
