target_kinase,n_active,n_total,activity_rate,n_compounds,n_inactive
Tyrosine-protein kinase Lyn,0,8,0.0,8,8
Tyrosine-protein kinase Mer,32,34,0.9411764705882353,33,2
Tyrosine-protein kinase SRC,267,485,0.5505154639175258,431,218
Tyrosine-protein kinase SYK,0,2,0.0,2,2
Tyrosine-protein kinase TEC,0,4,0.0,4,4
Tyrosine-protein kinase TIE-2,1,1,1.0,1,0
Tyrosine-protein kinase V-ABL,0,40,0.0,32,40
Tyrosine-protein kinase ZAP-70,0,5,0.0,5,5
Tyrosine-protein kinase receptor Tie-1,0,6,0.0,6,6
Tyrosine-protein kinase receptor UFO,32,32,1.0,32,0
Tyrosine-protein kinase transforming protein FPS,0,1,0.0,1,1
ULK3 kinase,4,6,0.6666666666666666,6,2
Uridine-cytidine kinase 1,0,1,0.0,1,1
Urokinase plasminogen activator surface receptor,30,30,1.0,29,0
Urokinase-type plasminogen activator,24,37,0.6486486486486487,18,13
Venus kinase receptor 2,1,14,0.07142857142857142,11,13
c-Jun N-terminal kinase,3,12,0.25,2,9
c-Jun N-terminal kinase 3,33,72,0.4583333333333333,72,39
cAMP-dependent protein kinase A,24,48,0.5,12,24
cAMP-dependent protein kinase alpha-catalytic subunit,26,60,0.43333333333333335,54,34
cGMP-dependent protein kinase,265,267,0.9925093632958801,258,2
cGMP-dependent protein kinase 1 alpha,11,24,0.4583333333333333,24,13
