target_kinase,n_active,n_total,activity_rate,n_compounds,n_inactive
Serine/threonine-protein kinase c-TAK1,227,1216,0.18667763157894737,1105,989
Serine/threonine-protein kinase greatwall,3,3,1.0,3,0
Serine/threonine-protein kinase haspin,83,169,0.4911242603550296,160,86
Serine/threonine-protein kinase mTOR,4330,5698,0.7599157599157599,5182,1368
Serine/threonine-protein kinase receptor R3,146,275,0.5309090909090909,246,129
Serine/threonine-protein kinase tousled-like 1,13,94,0.13829787234042554,88,81
Serine/threonine-protein kinase tousled-like 2,11,97,0.1134020618556701,94,86
Serine/threonine-protein kinase/endoribonuclease IRE1,456,948,0.4810126582278481,806,492
Serine/threonine-protein kinase/endoribonuclease IRE2,6,241,0.024896265560165973,240,235
Sphingosine kinase 1,243,546,0.44505494505494503,452,303
Sphingosine kinase 2,107,346,0.3092485549132948,314,239
TANK-binding kinase 1-binding protein 1,0,1,0.0,1,1
TP53-regulating kinase,3,242,0.012396694214876033,242,239
TRAF2- and NCK-interacting kinase,276,645,0.42790697674418604,541,369
Tau-tubulin kinase 1,64,115,0.5565217391304348,87,51
Tau-tubulin kinase 2,9,56,0.16071428571428573,56,47
Testis-specific serine/threonine-protein kinase 1,72,622,0.1157556270096463,602,550
Testis-specific serine/threonine-protein kinase 2,41,534,0.07677902621722846,532,493
Testis-specific serine/threonine-protein kinase 3,8,11,0.7272727272727273,10,3
Testis-specific serine/threonine-protein kinase 4,0,1,0.0,1,1
Testis-specific serine/threonine-protein kinase 6,2,3,0.6666666666666666,2,1
"Thymidine kinase, cytosolic",18,114,0.15789473684210525,80,96
"Thymidine kinase, mitochondrial",18,51,0.35294117647058826,44,33
Thymidylate kinase,2,13,0.15384615384615385,13,11
Tyrosine kinase non-receptor protein 2,588,1405,0.4185053380782918,1204,817
Tyrosine- and threonine-specific cdc2-inhibitory kinase,162,564,0.2872340425531915,371,402
Tyrosine-protein kinase ABL,4202,5978,0.7029106724657076,3839,1776
Tyrosine-protein kinase ABL2,107,396,0.2702020202020202,305,289
Tyrosine-protein kinase BAZ1B,0,2,0.0,2,2
Tyrosine-protein kinase BLK,402,934,0.430406852248394,878,532
Tyrosine-protein kinase BMX,199,361,0.5512465373961218,317,162
Tyrosine-protein kinase BRK,251,1005,0.24975124378109453,851,754
Tyrosine-protein kinase BTK,4310,5771,0.7468376364581528,4449,1461
Tyrosine-protein kinase CSK,90,504,0.17857142857142858,421,414
Tyrosine-protein kinase CTK,34,538,0.06319702602230483,523,504
Tyrosine-protein kinase FER,191,847,0.2255017709563164,760,656
Tyrosine-protein kinase FES,93,753,0.12350597609561753,674,660
Tyrosine-protein kinase FGR,87,248,0.35080645161290325,204,161
Tyrosine-protein kinase FRK,249,871,0.28587830080367393,774,622
Tyrosine-protein kinase FYN,784,1589,0.4933920704845815,1388,805
Tyrosine-protein kinase HCK,392,877,0.4469783352337514,756,485
Tyrosine-protein kinase ITK/TSK,1134,2098,0.540514775977121,1676,964
Tyrosine-protein kinase JAK1,5339,6340,0.8421135646687697,5777,1001
Tyrosine-protein kinase JAK2,7250,9701,0.7473456344706731,8568,2451
Tyrosine-protein kinase JAK3,3963,5922,0.6691995947315096,5331,1959
Tyrosine-protein kinase LCK,1721,3637,0.47319219136651086,3236,1916
Tyrosine-protein kinase Lyn,498,1400,0.3557142857142857,1249,902
Tyrosine-protein kinase SRC,2711,5727,0.4733717478610093,4915,3016
Tyrosine-protein kinase SYK,3610,4892,0.7379394930498774,4307,1282
Tyrosine-protein kinase Srms,76,574,0.13240418118466898,559,498
Tyrosine-protein kinase TEC,186,509,0.3654223968565815,414,323
Tyrosine-protein kinase TIE-2,829,1247,0.6647955092221332,1066,418
Tyrosine-protein kinase TXK,120,210,0.5714285714285714,195,90
Tyrosine-protein kinase TYK2,2252,3670,0.6136239782016348,3061,1418
Tyrosine-protein kinase YES,193,550,0.3509090909090909,451,357
Tyrosine-protein kinase ZAP-70,180,493,0.36511156186612576,467,313
Tyrosine-protein kinase receptor FLT3,3951,6660,0.5932432432432433,5080,2709
Tyrosine-protein kinase receptor RET,1231,2387,0.5157100963552577,1858,1156
Tyrosine-protein kinase receptor TYRO3,397,1304,0.3044478527607362,1251,907
Tyrosine-protein kinase receptor Tie-1,31,101,0.3069306930693069,96,70
Tyrosine-protein kinase receptor UFO,889,1600,0.555625,1474,711
Tyrosine-protein kinase transmembrane receptor ROR2,4,4,1.0,4,0
UMP-CMP kinase,2,129,0.015503875968992248,129,127
Uncharacterized aarF domain-containing protein kinase 1,12,242,0.049586776859504134,242,230
Uncharacterized aarF domain-containing protein kinase 4,5,85,0.058823529411764705,83,80
Uncharacterized aarF domain-containing protein kinase 5,2,142,0.014084507042253521,142,140
Uridine-cytidine kinase 2,1,17,0.058823529411764705,7,16
Urokinase plasminogen activator surface receptor,16,68,0.23529411764705882,54,52
Urokinase-type plasminogen activator,547,1361,0.4019103600293902,1280,814
Urokinase-type plasminogen activator/surface receptor,8,42,0.19047619047619047,11,34
VHL/Leucine-rich repeat serine/threonine-protein kinase 2,2,2,1.0,1,0
Voltage-gated potassium channel subunit Kv7.1/Misshapen-like kinase 1,0,2,0.0,1,2
Wee1-like protein kinase 2,15,88,0.17045454545454544,83,73
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",0,3,0.0,3,3
c-Jun N-terminal kinase 1,1360,3253,0.41807562250230557,2915,1893
c-Jun N-terminal kinase 2,1088,2554,0.42599843382928737,2337,1466
c-Jun N-terminal kinase 3,1050,2276,0.46133567662565905,2067,1226
"c-Jun N-terminal kinase, JNK",249,972,0.25617283950617287,302,723
cAMP-dependent protein kinase (PKA),390,1551,0.2514506769825919,492,1161
