target_kinase,n_active,n_total,activity_rate,n_compounds,n_inactive
cAMP-dependent protein kinase alpha-catalytic subunit,376,1687,0.2228808535862478,1544,1311
cAMP-dependent protein kinase beta-1 catalytic subunit,25,342,0.07309941520467836,284,317
cAMP-dependent protein kinase type II-alpha regulatory subunit,12,239,0.0502092050209205,239,227
cAMP-dependent protein kinase type II-beta regulatory subunit,7,7,1.0,7,0
"cAMP-dependent protein kinase, gamma catalytic subunit",11,207,0.05314009661835749,206,196
cGMP-dependent protein kinase 1 beta,146,899,0.16240266963292546,810,753
cGMP-dependent protein kinase 2,94,611,0.15384615384615385,593,517
myosin light chain kinase 2,27,109,0.24770642201834864,98,82
p38 MAP kinase alpha/beta,2,2,1.0,1,0
von Hippel-Lindau disease tumor suppressor/Receptor-interacting serine/threonine-protein kinase 2,4,4,1.0,2,0
