chembl_id,n_active,n_total,activity_rate,n_kinases,n_inactive
CHEMBL112080,1,1,1.0,1,0
CHEMBL112706,1,1,1.0,1,0
CHEMBL1129,0,2,0.0,2,2
CHEMBL112914,2,2,1.0,1,0
CHEMBL113023,1,1,1.0,1,0
CHEMBL113070,1,1,1.0,1,0
CHEMBL113128,0,1,0.0,1,1
CHEMBL113356,0,1,0.0,1,1
CHEMBL113521,1,1,1.0,1,0
CHEMBL113863,1,1,1.0,1,0
CHEMBL115509,1,1,1.0,1,0
CHEMBL115769,0,1,0.0,1,1
CHEMBL1160592,0,1,0.0,1,1
CHEMBL1160596,0,2,0.0,1,2
CHEMBL1160603,0,1,0.0,1,1
CHEMBL1160604,0,1,0.0,1,1
CHEMBL1160814,0,1,0.0,1,1
CHEMBL1160993,0,1,0.0,1,1
CHEMBL1160994,0,2,0.0,1,2
CHEMBL1161003,0,1,0.0,1,1
CHEMBL1161004,0,1,0.0,1,1
CHEMBL1161205,0,1,0.0,1,1
CHEMBL1161206,0,1,0.0,1,1
CHEMBL1161207,0,1,0.0,1,1
CHEMBL1161209,0,1,0.0,1,1
CHEMBL1161210,0,1,0.0,1,1
CHEMBL1161211,0,1,0.0,1,1
CHEMBL1161212,0,1,0.0,1,1
CHEMBL116437,8,8,1.0,1,0
CHEMBL1169825,1,1,1.0,1,0
CHEMBL1169826,1,1,1.0,1,0
CHEMBL117,0,2,0.0,1,2
CHEMBL1170011,0,1,0.0,1,1
CHEMBL1170012,1,1,1.0,1,0
CHEMBL1170724,0,1,0.0,1,1
CHEMBL1170927,0,1,0.0,1,1
CHEMBL1170930,1,1,1.0,1,0
CHEMBL1171036,0,1,0.0,1,1
CHEMBL117109,2,2,1.0,2,0
CHEMBL1171237,0,1,0.0,1,1
CHEMBL1171238,1,1,1.0,1,0
CHEMBL1171239,1,1,1.0,1,0
CHEMBL1171399,0,1,0.0,1,1
CHEMBL1171400,0,1,0.0,1,1
CHEMBL1171589,0,1,0.0,1,1
CHEMBL1171590,0,1,0.0,1,1
CHEMBL1171837,1,1,1.0,1,0
CHEMBL1171969,1,1,1.0,1,0
CHEMBL1171970,0,1,0.0,1,1
CHEMBL1171971,0,1,0.0,1,1
CHEMBL1171972,1,1,1.0,1,0
CHEMBL1172128,0,1,0.0,1,1
CHEMBL1172129,0,1,0.0,1,1
CHEMBL1172130,0,1,0.0,1,1
CHEMBL117228,0,1,0.0,1,1
CHEMBL1172328,0,1,0.0,1,1
CHEMBL1172329,1,1,1.0,1,0
CHEMBL1173655,0,2,0.0,2,2
CHEMBL1179821,2,3,0.6666666666666666,3,1
CHEMBL118187,2,2,1.0,2,0
CHEMBL118258,1,1,1.0,1,0
CHEMBL118281,1,1,1.0,1,0
CHEMBL118305,0,1,0.0,1,1
CHEMBL118419,1,1,1.0,1,0
CHEMBL118466,2,2,1.0,2,0
CHEMBL118651,2,2,1.0,2,0
CHEMBL118768,2,2,1.0,2,0
CHEMBL118917,1,2,0.5,2,1
CHEMBL1191611,0,3,0.0,2,3
CHEMBL119385,1,4,0.25,4,3
CHEMBL119406,1,1,1.0,1,0
CHEMBL119595,1,1,1.0,1,0
CHEMBL119648,1,1,1.0,1,0
CHEMBL119663,1,1,1.0,1,0
CHEMBL119675,2,2,1.0,2,0
CHEMBL119695,1,1,1.0,1,0
CHEMBL119699,1,1,1.0,1,0
CHEMBL119839,1,1,1.0,1,0
CHEMBL119849,1,1,1.0,1,0
CHEMBL119952,1,1,1.0,1,0
CHEMBL120032,1,1,1.0,1,0
CHEMBL120066,0,1,0.0,1,1
CHEMBL120067,0,1,0.0,1,1
CHEMBL120085,1,1,1.0,1,0
CHEMBL120127,0,1,0.0,1,1
CHEMBL120160,1,1,1.0,1,0
CHEMBL120185,1,1,1.0,1,0
CHEMBL120230,1,1,1.0,1,0
CHEMBL1202518,4,4,1.0,1,0
CHEMBL1202519,4,4,1.0,1,0
CHEMBL1202525,4,4,1.0,1,0
CHEMBL1202926,3,3,1.0,1,0
